UF;Estado;Populacao
AC;Acre;894470
AL;Alagoas;3351543
AP;Amapá;861773
AM;Amazonas;4207714
BA;Bahia;14930634
CE;Ceará;9187103
DF;Distrito Federal;3055149
ES;Espírito Santo;4064052
GO;Goiás;7113540
MA;Maranhão;7114598
MT;Mato Grosso;3526220
MS;Mato Grosso do Sul;2809394
MG;Minas Gerais;21292666
PA;Pará;8690745
PB;Paraíba;4039277
PR;Paraná;11516840
PE;Pernambuco;9616621
PI;Piauí;3281480
RJ;Rio de Janeiro;17366189
RN;Rio Grande do Norte;3534165
RS;Rio Grande do Sul;11422973
RO;Rondônia;1796460
RR;Roraima;631181
SC;Santa Catarina;7252502
SP;São Paulo;46289333
SE;Sergipe;2318822
TO;Tocantins;1590248
